"id","german","english","language","phase","nextgame","partnerid"
"0","das Buch","book","en","2","02.02.2022","1"
"1","das Buch","book","de","2","28.01.2022","0"
"2","etw. prägen","to mint","en","1","04.01.2022","3"
"3","etw. prägen","to mint","de","3","06.02.2022","2"
"4","etw. delegieren, etw. repräsentieren ","to delegate","en","1","29.12.2021","5"
"5","etw. delegieren, etw. repräsentieren ","to delegate","de","0","28.12.2021","4"
"6","der Zuschuss, der Freibetrag","allowance","en","0","16.12.2021","7"
"7","der Zuschuss, der Freibetrag","allowance","de","0","25.01.2022","6"
"8","die Zwickmühle","quandaries ","en","0","25.01.2022","9"
"9","die Zwickmühle","quandaries ","de","0","16.12.2021","8"
"10","in Knechtschaft, in Sklaverei","in thrall","en","1","31.01.2022","11"
"11","in Knechtschaft, in Sklaverei","in thrall","de","2","02.02.2022","10"
"12","verbergen","to conceal","en","1","04.01.2022","13"
"13","verbergen","to conceal","de","0","25.01.2022","12"
"14","einziger, alleiniger (IT)","singleton","en","3","01.02.2022","15"
"15","einziger, alleiniger (IT)","singleton","de","3","01.02.2022","14"
"16","Imperativ-, unerlässlich, notwendig","imperative","en","1","29.12.2021","17"
"17","Imperativ-, unerlässlich, notwendig","imperative","de","2","02.02.2022","16"
"18","reifen, altern","to mature","en","0","02.01.2022","19"
"19","reifen, altern","to mature","de","1","05.01.2022","18"
"20","der Versand","dispatch","en","0","02.01.2022","21"
"21","der Versand","dispatch","de","0","25.01.2022","20"
"22","versenden, verschicken","to dispatch sb./sth.","en","1","04.01.2022","23"
"23","versenden, verschicken","to dispatch sb./sth.","de","1","04.01.2022","22"
"24","anspruchsvoll, ausgefeilt","sophisticated","en","0","25.01.2022","25"
"25","anspruchsvoll, ausgefeilt","sophisticated","de","0","25.01.2022","24"
"26","einbeziehen, umfassen","to involve","en","0","30.01.2022","27"
"27","einbeziehen, umfassen","to involve","de","2","02.02.2022","26"
"28","zwischenspeichern","to cache","en","1","04.01.2022","29"
"29","zwischenspeichern","to cache","de","2","02.02.2022","28"
"30","das Arbeitstier","workhorse","en","1","31.01.2022","31"
"31","das Arbeitstier","workhorse","de","2","28.01.2022","30"
"32","Begegnung, Zusammentreffen","encounter","en","0","17.12.2021","33"
"33","Begegnung, Zusammentreffen","encounter","de","0","03.01.2022","32"
"34","veraltet","deprecated","en","1","04.01.2022","35"
"35","veraltet","deprecated","de","1","03.01.2022","34"
"36","die Hungersnot","famine","en","0","28.12.2021","37"
"37","die Hungersnot","famine","de","1","04.01.2022","36"
"38","clever, funny, schlagfertig, gewitzt","witty","en","2","28.01.2022","39"
"39","clever, funny, schlagfertig, gewitzt","witty","de","1","08.01.2022","38"
"40","jmd etw. aufdrängen","to foist sth. onto someone","en","1","03.01.2022","41"
"41","jmd etw. aufdrängen","to foist sth. onto someone","de","0","17.12.2021","40"
"42","Ausschmückung, Übertreibung","embroidery","en","0","17.12.2021","43"
"43","Ausschmückung, Übertreibung","embroidery","de","1","26.01.2022","42"
"44","die Verbreitung","dissemination","en","1","31.01.2022","45"
"45","die Verbreitung","dissemination","de","0","30.01.2022","44"
"46","begrenzen, einschränken, ausbremsen","to curb","en","0","07.01.2022","47"
"47","begrenzen, einschränken, ausbremsen","to curb","de","0","02.01.2022","46"
"48","der Schnittlauch","chives","en","0","17.12.2021","49"
"49","der Schnittlauch","chives","de","2","28.01.2022","48"
"50","die Anfrage","enquiry","en","3","06.02.2022","51"
"51","die Anfrage","enquiry","de","3","06.02.2022","50"
"52","die Kuration ","curation","en","0","02.01.2022","53"
"53","die Kuration ","curation","de","0","02.01.2022","52"
"54","etw. verlangen","to demand sth.","en","0","30.01.2022","55"
"55","etw. verlangen","to demand sth.","de","2","28.01.2022","54"
"56","der (Erd)boden","soil","en","1","04.01.2022","57"
"57","der (Erd)boden","soil","de","2","02.02.2022","56"
"58","fruchtbar","fertile","en","1","31.01.2022","59"
"59","fruchtbar","fertile","de","0","02.01.2022","58"
"60","die Fruchtbarkeit","fertility","en","1","04.01.2022","61"
"61","die Fruchtbarkeit","fertility","de","3","01.02.2022","60"
"62","die Mittelmäßigkeit","mediocrity","en","2","02.02.2022","63"
"63","die Mittelmäßigkeit","mediocrity","de","0","02.01.2022","62"
"64","die Not, die Widrigkeit, das Unglück","adversity","en","0","02.01.2022","65"
"65","die Not, die Widrigkeit, das Unglück","adversity","de","0","25.01.2022","64"
"66","tugendhaft","virtuous","en","0","02.01.2022","67"
"67","tugendhaft","virtuous","de","0","02.01.2022","66"
"68","die Besitztümer","possessions","en","0","25.01.2022","69"
"69","die Besitztümer","possessions","de","1","26.01.2022","68"
"70","die Verachtung, die Missachtung","contempt","en","0","25.01.2022","71"
"71","die Verachtung, die Missachtung","contempt","de","0","30.01.2022","70"
"72","die Hebelwirkung, der Einfluss","leverage","en","2","28.01.2022","73"
"73","die Hebelwirkung, der Einfluss","leverage","de","0","02.01.2022","72"
"74","die Reibung","friction","en","0","25.01.2022","75"
"75","die Reibung","friction","de","0","02.01.2022","74"
"76","die Bestrebungen, der Anspruch","aspirations","en","1","31.01.2022","77"
"77","die Bestrebungen, der Anspruch","aspirations","de","0","02.01.2022","76"
"78","der Stolz","pride","en","1","31.01.2022","79"
"79","der Stolz","pride","de","0","02.01.2022","78"
"80","der Vorsatz, vorsätzlich","malice","en","0","30.01.2022","81"
"81","der Vorsatz, vorsätzlich","malice","de","1","31.01.2022","80"
"82","die Verbindung, die Mischung","compound","en","0","03.01.2022","83"
"83","die Verbindung, die Mischung","compound","de","0","04.01.2022","82"
"84","der Zinseszins","compound interest","en","0","02.01.2022","85"
"85","der Zinseszins","compound interest","de","3","01.02.2022","84"
"86","der Gewissenhaftigkeit","conscientiousness","en","0","03.01.2022","87"
"87","der Gewissenhaftigkeit","conscientiousness","de","0","25.01.2022","86"
"88","der Angestellte","employees","en","1","31.01.2022","89"
"89","der Angestellte","employees","de","1","31.01.2022","88"
"90","der Arbeitgeber","employers","en","0","30.01.2022","91"
"91","der Arbeitgeber","employers","de","0","02.01.2022","90"
"92","widerwillig, zögernd","reluctant","en","0","02.01.2022","93"
"93","widerwillig, zögernd","reluctant","de","0","30.01.2022","92"
"94","aufnehmen, beherbergen, etw. unterbringen","accommodate","en","0","02.01.2022","95"
"95","aufnehmen, beherbergen, etw. unterbringen","accommodate","de","0","02.01.2022","94"
"96","pendeln","to commute","en","0","25.01.2022","97"
"97","pendeln","to commute","de","0","30.01.2022","96"
"98","schwinden, abnehmen, untergehen","to wane","en","0","02.01.2022","99"
"99","schwinden, abnehmen, untergehen","to wane","de","0","02.01.2022","98"
"100","etw. wagen, etw. riskieren","to venture sth.","en","0","02.01.2022","101"
"101","etw. wagen, etw. riskieren","to venture sth.","de","0","02.01.2022","100"
"102","die Unternehmungen, die Wagnisse","ventures","en","1","04.01.2022","103"
"103","die Unternehmungen, die Wagnisse","ventures","de","1","08.01.2022","102"
"104","die Rechenschaftspflicht, die Verantwortung","accountability","en","0","30.01.2022","105"
"105","die Rechenschaftspflicht, die Verantwortung","accountability","de","0","02.01.2022","104"
"106","unbewusst, bewusstlos","unconscious","en","0","30.01.2022","107"
"107","unbewusst, bewusstlos","unconscious","de","1","05.01.2022","106"
"108","bewusst, bei Bewusstsein","conscious","en","1","26.01.2022","109"
"109","bewusst, bei Bewusstsein","conscious","de","1","04.01.2022","108"
"110","knapp, spärlich, rar","scarce","en","0","02.01.2022","111"
"111","knapp, spärlich, rar","scarce","de","2","28.01.2022","110"
"112","reichlich, üppig","abundant","en","0","25.01.2022","113"
"113","reichlich, üppig","abundant","de","1","26.01.2022","112"
"114","der Abgrund, die Kluft","abyss","en","2","10.01.2022","115"
"115","der Abgrund, die Kluft","abyss","de","1","08.01.2022","114"
"116","der Ertrag, die Ausbeute","yield","en","0","25.01.2022","117"
"117","der Ertrag, die Ausbeute","yield","de","1","04.01.2022","116"
"118","unverhältnismäßig","disproportionate","en","0","02.01.2022","119"
"119","unverhältnismäßig","disproportionate","de","0","07.01.2022","118"
"120","rückläufig, abnehmend","diminishing","en","0","30.01.2022","121"
"121","rückläufig, abnehmend","diminishing","de","0","02.01.2022","120"
"122","drehbar, schwenkbar","pivoting","en","1","08.01.2022","123"
"123","drehbar, schwenkbar","pivoting","de","0","02.01.2022","122"
"124","die Vorurteile","prejudices","en","0","02.01.2022","125"
"125","die Vorurteile","prejudices","de","1","04.01.2022","124"
"126","ordentlich, sauber, übersichtlich","neatly","en","0","25.01.2022","127"
"127","ordentlich, sauber, übersichtlich","neatly","de","0","30.01.2022","126"
"128","die Achtsamkeit, die Aufmerksamkeit","mindfulness","en","0","02.01.2022","129"
"129","die Achtsamkeit, die Aufmerksamkeit","mindfulness","de","1","31.01.2022","128"
"130","der Zweck, die Absicht","purpose","en","0","30.01.2022","131"
"131","der Zweck, die Absicht","purpose","de","1","08.01.2022","130"
"132","etw. erreichen, etw. erzielen","to attain","en","0","30.01.2022","133"
"133","etw. erreichen, etw. erzielen","to attain","de","0","30.01.2022","132"
"134","die Ausrichtung","alignment","en","0","30.01.2022","135"
"135","die Ausrichtung","alignment","de","0","02.01.2022","134"
"136","die Müdigkeit, die Erschöpfung","fatique","en","0","25.01.2022","137"
"137","die Müdigkeit, die Erschöpfung","fatique","de","0","04.01.2022","136"
"138","wohlhabend, vermögend","affluent","en","0","02.01.2022","139"
"139","wohlhabend, vermögend","affluent","de","0","30.01.2022","138"
"140","die Obszönität","obscenity","en","0","25.01.2022","141"
"141","die Obszönität","obscenity","de","2","02.02.2022","140"
"142","gegenseitig, gemeinsam, einvernehmlich","mutual","en","0","30.01.2022","143"
"143","gegenseitig, gemeinsam, einvernehmlich","mutual","de","0","04.01.2022","142"
"144","die Reife, die (Über-)Fälligkeit","maturity","en","0","30.01.2022","145"
"145","die Reife, die (Über-)Fälligkeit","maturity","de","0","04.01.2022","144"
"146","umfassen. umschließen, umspannen","encompass","en","0","04.01.2022","147"
"147","umfassen. umschließen, umspannen","encompass","de","0","30.01.2022","146"
"148","somit, daher, dadurch","hence","en","0","04.01.2022","149"
"149","somit, daher, dadurch","hence","de","0","04.01.2022","148"
"150","umfassen, beinhalten, bestehen aus","to comprise","en","0","25.01.2022","151"
"151","umfassen, beinhalten, bestehen aus","to comprise","de","0","25.01.2022","150"
"152","der Austeller, der Herausgeber","issuer","en","0","04.01.2022","153"
"153","der Austeller, der Herausgeber","issuer","de","0","04.01.2022","152"
"154","der Anreiz","incentive","en","0","07.01.2022","155"
"155","der Anreiz","incentive","de","1","08.01.2022","154"
"156","der Halt, das Stützbein","foothold","en","0","30.01.2022","157"
"157","der Halt, das Stützbein","foothold","de","0","25.01.2022","156"
"158","scheinbar, angeblich","ostensibly","en","0","30.01.2022","159"
"159","scheinbar, angeblich","ostensibly","de","0","30.01.2022","158"
"160","die Ausschreibung, das Angebot","tender","en","0","25.01.2022","161"
"161","die Ausschreibung, das Angebot","tender","de","0","25.01.2022","160"
"162","die Nachdenklichkeit, die Rücksichtsnahme","thoughtfullness","en","0","30.01.2022","163"
"163","die Nachdenklichkeit, die Rücksichtsnahme","thoughtfullness","de","0","25.01.2022","162"
"164","etw. wünschen, etw. begehren","to desire","en","0","25.01.2022","165"
"165","etw. wünschen, etw. begehren","to desire","de","0","25.01.2022","164"
"166","verantwortlich, haftbar","liable","en","0","30.01.2022","167"
"167","verantwortlich, haftbar","liable","de","0","25.01.2022","166"
"168","provozieren, auslösen, bewirken","to provoke sb/sth","en","1","31.01.2022","169"
"169","provozieren, auslösen, bewirken","to provoke sb/sth","de","0","25.01.2022","168"
"170","die Gelegenheit, der Anlass","occasion","en","0","30.01.2022","171"
"171","die Gelegenheit, der Anlass","occasion","de","0","25.01.2022","170"
"172","die Abscheu, der Ekel","revulsion","en","0","25.01.2022","173"
"173","die Abscheu, der Ekel","revulsion","de","0","25.01.2022","172"
"174","liebenswert","endearing","en","0","25.01.2022","175"
"175","liebenswert","endearing","de","0","25.01.2022","174"
"176","akut, scharfsinning","acute","en","0","30.01.2022","177"
"177","akut, scharfsinning","acute","de","0","30.01.2022","176"
"178","das Selbstwertgefühl, die Selbstachtung","self-esteem","en","0","30.01.2022","179"
"179","das Selbstwertgefühl, die Selbstachtung","self-esteem","de","0","30.01.2022","178"
"180","die Wertschätzung, das Ansehen","esteem","en","0","30.01.2022","181"
"181","die Wertschätzung, das Ansehen","esteem","de","0","30.01.2022","180"
"182","etw. tragen, etw. ertragen, etw. aushalten","to bear","en","0","30.01.2022","183"
"183","etw. tragen, etw. ertragen, etw. aushalten","to bear","de","0","30.01.2022","182"
"184","die Verachtung, die Geringschätzung","disdain","en","0","30.01.2022","185"
"185","die Verachtung, die Geringschätzung","disdain","de","0","30.01.2022","184"
"186","der Einklang, das Abkommen","accord","en","0","30.01.2022","187"
"187","der Einklang, das Abkommen","accord","de","0","30.01.2022","186"
"188","die Übelkeit, der Brechreiz","nausea","en","0","30.01.2022","189"
"189","die Übelkeit, der Brechreiz","nausea","de","0","30.01.2022","188"
"190","entsetzlich, erschreckend","appalling","en","0","30.01.2022","191"
"191","entsetzlich, erschreckend","appalling","de","0","30.01.2022","190"
"192","die Beurteilung, die Bewertung","assessement","en","0","30.01.2022","193"
"193","die Beurteilung, die Bewertung","assessement","de","0","30.01.2022","192"
"194","etw. werfen, etw. schleudern","to toss","en","0","30.01.2022","195"
"195","etw. werfen, etw. schleudern","to toss","de","0","30.01.2022","194"
"196","der Münzwurf","coin toss","en","0","30.01.2022","197"
"197","der Münzwurf","coin toss","de","0","30.01.2022","196"
"198","matt, stumpf, glanzlos, langweilig","dull","en","0","30.01.2022","199"
"199","matt, stumpf, glanzlos, langweilig","dull","de","0","30.01.2022","198"
"200","verdankt, geschuldet","owed","en","0","30.01.2022","201"
"201","verdankt, geschuldet","owed","de","0","30.01.2022","200"
"202","absolut, ganz und gar","utterly","en","0","30.01.2022","203"
"203","absolut, ganz und gar","utterly","de","0","30.01.2022","202"
"204","etw. ergreifen, anpacken","to seize","en","0","27.02.2022","205"
"205","etw. ergreifen, anpacken","to seize","de","0","27.02.2022","204"
"206","die Handfläche","palm","en","0","27.02.2022","207"
"207","die Handfläche","palm","de","0","27.02.2022","206"
"208","das Erbrochene","vomit","en","0","27.02.2022","209"
"209","das Erbrochene","vomit","de","0","27.02.2022","208"
"210","sich übergeben","to vomit","en","0","27.02.2022","211"
"211","sich übergeben","to vomit","de","0","27.02.2022","210"
"212","stagnant","stagnierend","en","0","27.02.2022","213"
"213","stagnant","stagnierend","de","0","27.02.2022","212"
"214","die Schwärmerei","rhapsody","en","0","27.02.2022","215"
"215","die Schwärmerei","rhapsody","de","0","27.02.2022","214"
"216","über etw. ins Schwärmen geraten","to go into rhapsody about sth.","en","0","27.02.2022","217"
"217","über etw. ins Schwärmen geraten","to go into rhapsody about sth.","de","0","27.02.2022","216"
"218","der Ruhm, die Berühmtheit","stardom","en","0","27.02.2022","219"
"219","der Ruhm, die Berühmtheit","stardom","de","0","27.02.2022","218"
"220","die Obduktion, die Autopsie","post mortem","en","0","27.02.2022","221"
"221","die Obduktion, die Autopsie","post mortem","de","0","27.02.2022","220"
"222","der Weltenbummler","globetrotter","en","0","27.02.2022","223"
"223","der Weltenbummler","globetrotter","de","0","27.02.2022","222"
"224","etw. verstärken, erweitern, vertiefen","to amplify sth.","en","0","27.02.2022","225"
"225","etw. verstärken, erweitern, vertiefen","to amplify sth.","de","0","27.02.2022","224"
"226","die Briefmarke, der Stempel","stamp","en","0","27.02.2022","227"
"227","die Briefmarke, der Stempel","stamp","de","0","27.02.2022","226"
"228","die Windel","diaper","en","0","27.02.2022","229"
"229","die Windel","diaper","de","0","27.02.2022","228"
"230","wackeln, torkeln, schwanken","to totter","en","0","27.02.2022","231"
"231","wackeln, torkeln, schwanken","to totter","de","0","27.02.2022","230"
"232","der Anhänger","trailer","en","0","27.02.2022","233"
"233","der Anhänger","trailer","de","0","27.02.2022","232"
"234","verblassen, nachlassen","to fade","en","0","28.02.2022","235"
"235","verblassen, nachlassen","to fade","de","0","28.02.2022","234"
"236","seufzen, aufatmen","to sigh","en","0","28.02.2022","237"
"237","seufzen, aufatmen","to sigh","de","0","28.02.2022","236"
"238","Seufzer","sigh","en","0","28.02.2022","239"
"239","Seufzer","sigh","de","0","28.02.2022","238"
"240","Leid, Trauer, Sorge","sorrow","en","0","28.02.2022","241"
"241","Leid, Trauer, Sorge","sorrow","de","0","28.02.2022","240"
"242","erleichtern, mindern, nachgeben","to ease","en","0","28.02.2022","243"
"243","erleichtern, mindern, nachgeben","to ease","de","0","28.02.2022","242"
"244","verliebt, zärtlich, liebevoll","fond","en","0","28.02.2022","245"
"245","verliebt, zärtlich, liebevoll","fond","de","0","28.02.2022","244"
"246","rücksichtslos, leichtsinnig, waghalsig","reckless","en","0","28.02.2022","247"
"247","rücksichtslos, leichtsinnig, waghalsig","reckless","de","0","28.02.2022","246"